F S   UID     PID    PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
1 I     0     150       2  0  60 -20 -     0 -      ?        00:00:00 kworker/R-charger_manager
1 I     0     151       2  0  60 -20 -     0 -      ?        00:00:00 kworker/0:1H-kblockd
1 I     0     175       2  0  60 -20 -     0 -      ?        00:00:00 kworker/8:1H-kblockd
1 I     0     178       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:2-events
1 I     0     197       2  0  60 -20 -     0 -      ?        00:00:00 kworker/2:1H-kblockd
1 I     0     198       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:3-events
1 I     0     199       2  0  80   0 -     0 -      ?        00:00:00 kworker/1:4
1 I     0     200       2  0  60 -20 -     0 -      ?        00:00:00 kworker/5:1H-kblockd
1 I     0     201       2  0  60 -20 -     0 -      ?        00:00:00 kworker/1:1H-kblockd
1 I     0     203       2  0  60 -20 -     0 -      ?        00:00:00 kworker/7:1H-kblockd
1 I     0     205       2  0  60 -20 -     0 -      ?        00:00:00 kworker/10:1H-kblockd
1 I     0     206       2  0  60 -20 -     0 -      ?        00:00:00 kworker/11:1H-kblockd
1 I     0     209       2  0  60 -20 -     0 -      ?        00:00:00 kworker/3:1H-kblockd
1 I     0     210       2  0  60 -20 -     0 -      ?        00:00:00 kworker/6:1H-kblockd
1 I     0     231       2  0  80   0 -     0 -      ?        00:00:00 kworker/2:2-events
1 I     0     232       2  0  80   0 -     0 -      ?        00:00:00 kworker/7:1-mm_percpu_wq
